characteristic_id	formula_latex	formula_direction	data_fields	calculation_window_zh	calculation_window_en	accounting_lag_zh	accounting_lag_en	source_label	source_url	provenance	source_commit	code_path	code_lines	code_frequency_zh	code_frequency_en	reconcile_url	notes_zh	notes_en
chpmia	\(\displaystyle \mathrm{PM}_{i,t}=\frac{\mathrm{IB}_{i,t}}{\mathrm{SALE}_{i,t}},\quad \Delta\mathrm{PM}_{i,t}=\mathrm{PM}_{i,t}-\mathrm{PM}_{i,t-1},\quad \mathrm{CHPMIA}_{i,t}=\Delta\mathrm{PM}_{i,t}-\overline{\Delta\mathrm{PM}}_{\mathrm{industry},t}\)		Compustat: IB, SALE; industry classification	年频。	Annual.	按 chars_ciz 年频 jdate 对齐；未另行添加页面假设。	Aligned by the chars_ciz annual jdate rule; the page adds no extra assumption.	EquityChars CIZ · accounting.py · L1089	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L1089	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	1089	年频。	Annual.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
chtx	\(\displaystyle \mathrm{CHTX}_{i,t}=\frac{\mathrm{TXT}_{i,t}-\mathrm{TXT}_{i,t-1}}{\mathrm{AT}_{i,t-1}}\)	+1	Compustat: AT, TXT	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	年频与季频结果均在 CIZ 中对齐；最终比较 datadate，取较新的可用值。	CIZ aligns both annual and quarterly results, then selects the newer available value by datadate.	EquityChars CIZ · accounting.py · L583, L1468	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L583	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	583,1468	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/impute_rank_output.py#L85	公式按 chars_ciz 代码转写。年频与季频同时可用时，最终输出按 datadate 选择较新的非空值。	Formula transcribed from chars_ciz. When annual and quarterly values both exist, final output selects the newer non-null value by datadate.
cinvest	\(\displaystyle \mathrm{CINVEST}_{i,t}= \frac{\mathrm{PPENTQ}_{i,t}-\mathrm{PPENTQ}_{i,t-1}}{\mathrm{SALEQ}_{i,t}} -\frac{1}{3}\sum_{k=1}^{3} \frac{\mathrm{PPENTQ}_{i,t-k}-\mathrm{PPENTQ}_{i,t-k-1}}{\mathrm{SALEQ}_{i,t-k}}\)	-1	Compustat: PPENTQ, SALEQ	季频。	Quarterly.	按 chars_ciz 的季度或事件日期对齐；未另行添加页面假设。	Aligned by the chars_ciz quarterly or event-date rule; the page adds no extra assumption.	EquityChars CIZ · accounting.py · L1947, L1965	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L1947	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	1947,1965	季频。	Quarterly.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
convind	\(\displaystyle \mathrm{CONVIND}_{i,t}=\mathbf{1}\{\mathrm{DC}_{i,t}>0\ \lor\ \mathrm{CSHRC}_{i,t}>0\}\)		Compustat: DC, CSHRC	年频。	Annual.	按 chars_ciz 年频 jdate 对齐；未另行添加页面假设。	Aligned by the chars_ciz annual jdate rule; the page adds no extra assumption.	EquityChars CIZ · accounting.py · L933	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L933	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	933	年频。	Annual.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
currat	\(\displaystyle \mathrm{CURRAT}_{i,t}=\frac{\mathrm{ACT}_{i,t}}{\mathrm{LCT}_{i,t}}\)		Compustat: ACT, LCT	年频。	Annual.	按 chars_ciz 年频 jdate 对齐；未另行添加页面假设。	Aligned by the chars_ciz annual jdate rule; the page adds no extra assumption.	EquityChars CIZ · accounting.py · L801	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L801	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	801	年频。	Annual.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
depr	\(\displaystyle \mathrm{DEPR}_{i,t}=\frac{\mathrm{DP}_{i,t}}{\mathrm{PPENT}_{i,t}}\)	+1	Compustat: DP, PPENT	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	年频与季频结果均在 CIZ 中对齐；最终比较 datadate，取较新的可用值。	CIZ aligns both annual and quarterly results, then selects the newer available value by datadate.	EquityChars CIZ · accounting.py · L613, L1681	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L613	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	613,1681	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/impute_rank_output.py#L85	公式按 chars_ciz 代码转写。年频与季频同时可用时，最终输出按 datadate 选择较新的非空值。	Formula transcribed from chars_ciz. When annual and quarterly values both exist, final output selects the newer non-null value by datadate.
divi	\(\displaystyle \mathrm{DIVI}_{i,t}=\mathbf{1}\{\mathrm{DVT}_{i,t}>0\ \land\ (\mathrm{DVT}_{i,t-1}=0\ \lor\ \mathrm{DVT}_{i,t-1}\text{ missing})\}\)		Compustat: DVT	年频。	Annual.	按 chars_ciz 年频 jdate 对齐；未另行添加页面假设。	Aligned by the chars_ciz annual jdate rule; the page adds no extra assumption.	EquityChars CIZ · accounting.py · L1116	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L1116	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	1116	年频。	Annual.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
divo	\(\displaystyle \mathrm{DIVO}_{i,t}=\mathbf{1}\{(\mathrm{DVT}_{i,t}=0\ \lor\ \mathrm{DVT}_{i,t}\text{ missing})\ \land\ \mathrm{DVT}_{i,t-1}>0\}\)		Compustat: DVT	年频。	Annual.	按 chars_ciz 年频 jdate 对齐；未另行添加页面假设。	Aligned by the chars_ciz annual jdate rule; the page adds no extra assumption.	EquityChars CIZ · accounting.py · L1129	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L1129	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	1129	年频。	Annual.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
dolvol	\(\displaystyle \mathrm{DOLVOL}_{i,t}=\log(\mathrm{VOL}_{i,t-2}\,\mathrm{PRC}_{i,t-2})\)	-1	CRSP: PRC, VOL	月频。	Monthly.	信号在 t 月形成；最终输出将收益移至 t+1 月。	The signal is formed at month t; final output shifts the return to month t+1.	EquityChars CIZ · accounting.py · L2146	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L2146	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	2146	月频。	Monthly.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
egr	\(\displaystyle \mathrm{EGR}^{A}_{i,t}=\frac{\mathrm{CEQ}_{i,t}-\mathrm{CEQ}_{i,t-1}}{\mathrm{CEQ}_{i,t-1}},\quad \mathrm{EGR}^{Q}_{i,t}=\frac{\mathrm{CEQQ}_{i,t}-\mathrm{CEQQ}_{i,t-4}}{\mathrm{CEQQ}_{i,t-4}}\)		Compustat: CEQ, CEQQ	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	年频与季频结果均在 CIZ 中对齐；最终比较 datadate，取较新的可用值。	CIZ aligns both annual and quarterly results, then selects the newer available value by datadate.	EquityChars CIZ · accounting.py · L641, L1689	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L641	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	641,1689	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/impute_rank_output.py#L85	公式按 chars_ciz 代码转写。年频与季频同时可用时，最终输出按 datadate 选择较新的非空值。	Formula transcribed from chars_ciz. When annual and quarterly values both exist, final output selects the newer non-null value by datadate.
ep	\(\displaystyle \mathrm{EP}_{i,t}=\frac{\mathrm{IB}_{i,t}}{\mathrm{ME}_{i,t}}\)	+1	Compustat: IB	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	年频与季频结果均在 CIZ 中对齐；最终比较 datadate，取较新的可用值。	CIZ aligns both annual and quarterly results, then selects the newer available value by datadate.	EquityChars CIZ · accounting.py · L2303, L2425	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L2303	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	2303,2425	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/impute_rank_output.py#L85	公式按 chars_ciz 代码转写。年频与季频同时可用时，最终输出按 datadate 选择较新的非空值。	Formula transcribed from chars_ciz. When annual and quarterly values both exist, final output selects the newer non-null value by datadate.
gma	\(\displaystyle \mathrm{GMA}_{i,t}=\frac{\mathrm{REVT}_{i,t}-\mathrm{COGS}_{i,t}}{\mathrm{AT}_{i,t-1}}\)	+1	Compustat: AT, COGS, REVT	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	年频与季频结果均在 CIZ 中对齐；最终比较 datadate，取较新的可用值。	CIZ aligns both annual and quarterly results, then selects the newer available value by datadate.	EquityChars CIZ · accounting.py · L531, L1624	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L531	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	531,1624	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/impute_rank_output.py#L85	公式按 chars_ciz 代码转写。年频与季频同时可用时，最终输出按 datadate 选择较新的非空值。	Formula transcribed from chars_ciz. When annual and quarterly values both exist, final output selects the newer non-null value by datadate.
grcapx	\(\displaystyle \mathrm{GRCAPX}_{i,t}=\frac{\mathrm{CAPX}_{i,t}-\mathrm{CAPX}_{i,t-2}}{\mathrm{CAPX}_{i,t-2}}\)		Compustat: CAPX	年频。	Annual.	按 chars_ciz 年频 jdate 对齐；未另行添加页面假设。	Aligned by the chars_ciz annual jdate rule; the page adds no extra assumption.	EquityChars CIZ · accounting.py · L778	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L778	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	778	年频。	Annual.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
grltnoa	\(\displaystyle \begin{aligned} \mathrm{LTNOA}_{i,t}&=(\mathrm{RECT}_{i,t}+\mathrm{INVT}_{i,t}+\mathrm{PPENT}_{i,t}+\mathrm{ACO}_{i,t}+\mathrm{INTAN}_{i,t}+\mathrm{AO}_{i,t})\\ &\quad-(\mathrm{AP}_{i,t}+\mathrm{LCO}_{i,t}+\mathrm{LO}_{i,t}),\\ \Delta\mathrm{WCNOA}_{i,t}&=(\mathrm{RECT}_{i,t}-\mathrm{RECT}_{i,t-1})+(\mathrm{INVT}_{i,t}-\mathrm{INVT}_{i,t-1})+(\mathrm{ACO}_{i,t}-\mathrm{ACO}_{i,t-1})\\ &\quad-(\mathrm{AP}_{i,t}-\mathrm{AP}_{i,t-1})-(\mathrm{LCO}_{i,t}-\mathrm{LCO}_{i,t-1}),\\ \mathrm{GRLTNOA}_{i,t}&= \frac{\mathrm{LTNOA}_{i,t}}{\mathrm{AT}_{i,t}} -\frac{\mathrm{LTNOA}_{i,t-1}}{\mathrm{AT}_{i,t-1}} -\frac{\Delta\mathrm{WCNOA}_{i,t}}{\frac{1}{2}(\mathrm{AT}_{i,t}+\mathrm{AT}_{i,t-1})}. \end{aligned}\)	+1	Compustat: ACO, AO, AP, AT, INTAN, INVT, LCO, LO, PPENT, RECT	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	年频与季频结果均在 CIZ 中对齐；最终比较 datadate，取较新的可用值。	CIZ aligns both annual and quarterly results, then selects the newer available value by datadate.	EquityChars CIZ · accounting.py · L917, L1826	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L917	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	917,1826	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/impute_rank_output.py#L85	公式按 chars_ciz 代码转写。年频与季频同时可用时，最终输出按 datadate 选择较新的非空值。	Formula transcribed from chars_ciz. When annual and quarterly values both exist, final output selects the newer non-null value by datadate.
herf	\(\displaystyle S_{j,t}=\sum_{i\in j}\mathrm{SALE}_{i,t},\quad \mathrm{HERF}_{j,t}=\sum_{i\in j}\left(\frac{\mathrm{SALE}_{i,t}}{S_{j,t}}\right)^2\)	-1	Compustat: SALE	年频。	Annual.	按 chars_ciz 年频 jdate 对齐；未另行添加页面假设。	Aligned by the chars_ciz annual jdate rule; the page adds no extra assumption.	EquityChars CIZ · accounting.py · L1049	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L1049	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	1049	年频。	Annual.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
hire	\(\displaystyle \mathrm{HIRE}_{i,t}=\begin{cases}(\mathrm{EMP}_{i,t}-\mathrm{EMP}_{i,t-1})/\mathrm{EMP}_{i,t-1},&\mathrm{EMP}_{i,t},\mathrm{EMP}_{i,t-1}\text{ available},\\0,&\text{otherwise}.\end{cases}\)	-1	Compustat: EMP	年频。	Annual.	按 chars_ciz 年频 jdate 对齐；未另行添加页面假设。	Aligned by the chars_ciz annual jdate rule; the page adds no extra assumption.	EquityChars CIZ · accounting.py · L1028, L1035	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L1028	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	1028,1035	年频。	Annual.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
ill	\(\displaystyle \mathrm{ILL}_{i,t}=\operatorname{Mean}_{d\in W_t}\left(\frac{|\mathrm{RET}_{i,d}|}{|\mathrm{PRC}_{i,d}|\,\mathrm{VOL}_{i,d}}\right)\)	+1	CRSP: PRC, RET, VOL	日频输入；滚动 3 个月，至少 21 个观测。	Daily inputs; rolling three months with at least 21 observations.	信号在 t 月形成；最终输出将收益移至 t+1 月。	The signal is formed at month t; final output shifts the return to month t+1.	EquityChars CIZ · rolling_chars.py · L228	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/rolling_chars.py#L228	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/rolling_chars.py	228	日频输入；滚动 3 个月，至少 21 个观测。	Daily inputs; rolling three months with at least 21 observations.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
indmom	\(\displaystyle \mathrm{INDMOM}_{i,t}=\frac{\sum_{j:\mathrm{FFI49}_j=\mathrm{FFI49}_i}\mathrm{ME}_{j,t}\,\mathrm{MOM6M}_{j,t}}{\sum_{j:\mathrm{FFI49}_j=\mathrm{FFI49}_i}\mathrm{ME}_{j,t}}\)		Fama–French 49 industry	月频。	Monthly.	信号在 t 月形成；最终输出将收益移至 t+1 月。	The signal is formed at month t; final output shifts the return to month t+1.	EquityChars CIZ · accounting.py · L2361, L2477	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L2361	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	2361,2477	月频。	Monthly.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
invest	\(\displaystyle \mathrm{INVEST}_{i,t}=\frac{\Delta\mathrm{PPEGT}_{i,t}+\Delta\mathrm{INVT}_{i,t}}{\mathrm{AT}_{i,t-1}},\quad \mathrm{PPEGT}\leftarrow\mathrm{PPENT}\ \text{if PPEGT is missing}\)		Compustat: PPEGT, PPENT, INVT, AT	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	年频与季频结果均在 CIZ 中对齐；最终比较 datadate，取较新的可用值。	CIZ aligns both annual and quarterly results, then selects the newer available value by datadate.	EquityChars CIZ · accounting.py · L633, L1666	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L633	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	633,1666	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/impute_rank_output.py#L85	公式按 chars_ciz 代码转写。年频与季频同时可用时，最终输出按 datadate 选择较新的非空值。	Formula transcribed from chars_ciz. When annual and quarterly values both exist, final output selects the newer non-null value by datadate.
lev	\(\displaystyle \mathrm{LEV}_{i,t}=\frac{\mathrm{LT}_{i,t}}{\mathrm{ME}_{i,t}}\)	+1	Compustat: LT	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	年频与季频结果均在 CIZ 中对齐；最终比较 datadate，取较新的可用值。	CIZ aligns both annual and quarterly results, then selects the newer available value by datadate.	EquityChars CIZ · accounting.py · L2313, L2430	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L2313	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	2313,2430	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/impute_rank_output.py#L85	公式按 chars_ciz 代码转写。年频与季频同时可用时，最终输出按 datadate 选择较新的非空值。	Formula transcribed from chars_ciz. When annual and quarterly values both exist, final output selects the newer non-null value by datadate.
lgr	\(\displaystyle \mathrm{LGR}_{i,t}=\frac{\mathrm{LT}_{i,t}}{\mathrm{LT}_{i,t-1}}-1\)	-1	Compustat: LT	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	年频与季频结果均在 CIZ 中对齐；最终比较 datadate，取较新的可用值。	CIZ aligns both annual and quarterly results, then selects the newer available value by datadate.	EquityChars CIZ · accounting.py · L545, L1676	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L545	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	545,1676	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/impute_rank_output.py#L85	公式按 chars_ciz 代码转写。年频与季频同时可用时，最终输出按 datadate 选择较新的非空值。	Formula transcribed from chars_ciz. When annual and quarterly values both exist, final output selects the newer non-null value by datadate.
maxret	\(\displaystyle \mathrm{MAXRET}_{i,t}=\max_{d\in D_t}\mathrm{RET}_{i,d}\)	-1	CRSP: RET	日频输入；滚动 3 个月，至少 21 个观测。	Daily inputs; rolling three months with at least 21 observations.	信号在 t 月形成；最终输出将收益移至 t+1 月。	The signal is formed at month t; final output shifts the return to month t+1.	EquityChars CIZ · rolling_chars.py · L129	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/rolling_chars.py#L129	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/rolling_chars.py	129	日频输入；滚动 3 个月，至少 21 个观测。	Daily inputs; rolling three months with at least 21 observations.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
me	\(\displaystyle \mathrm{ME}_{c,t}=\frac{1}{1000}\sum_{s\in c}|\mathrm{PRC}_{s,t}|\,\mathrm{SHROUT}_{s,t}\)	-1	CRSP: PRC, SHROUT	月频。	Monthly.	信号在 t 月形成；最终输出将收益移至 t+1 月。	The signal is formed at month t; final output shifts the return to month t+1.	EquityChars CIZ · accounting.py · L162, L185, L2079	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L162	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	162,185,2079	月频。	Monthly.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
me_ia	\(\displaystyle \mathrm{ME\_IA}_{i,t}=\mathrm{ME}_{i,t}-\overline{\mathrm{ME}}_{\mathrm{industry},t}\)	-1	Industry classification	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	年频与季频结果均在 CIZ 中对齐；最终比较 datadate，取较新的可用值。	CIZ aligns both annual and quarterly results, then selects the newer available value by datadate.	EquityChars CIZ · accounting.py · L2280, L2404	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L2280	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	2280,2404	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/impute_rank_output.py#L85	公式按 chars_ciz 代码转写。年频与季频同时可用时，最终输出按 datadate 选择较新的非空值。	Formula transcribed from chars_ciz. When annual and quarterly values both exist, final output selects the newer non-null value by datadate.
mom12m	\(\displaystyle \mathrm{MOM12M}_{i,t}=\prod_{k=1}^{12}(1+\mathrm{RET}_{i,t-k})-1\)	+1	CRSP: RET	月频；收益滞后 1–12 月。	Monthly; return lags 1–12.	信号在 t 月形成；最终输出将收益移至 t+1 月。	The signal is formed at month t; final output shifts the return to month t+1.	EquityChars CIZ · accounting.py · L2128	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L2128	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	2128	月频。	Monthly.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
mom1m	\(\displaystyle \mathrm{MOM1M}_{i,t}=\mathrm{RET}_{i,t}\)	-1	CRSP: RET	月频。	Monthly.	信号在 t 月形成；最终输出将收益移至 t+1 月。	The signal is formed at month t; final output shifts the return to month t+1.	EquityChars CIZ · accounting.py · L2126	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L2126	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	2126	月频。	Monthly.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
mom36m	\(\displaystyle \mathrm{MOM36M}_{i,t}=\prod_{k=13}^{36}(1+\mathrm{RET}_{i,t-k})-1\)	-1	CRSP: RET	月频；收益滞后 13–36 月。	Monthly; return lags 13–36.	信号在 t 月形成；最终输出将收益移至 t+1 月。	The signal is formed at month t; final output shifts the return to month t+1.	EquityChars CIZ · accounting.py · L2129	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L2129	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	2129	月频。	Monthly.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
