characteristic_id	characteristic_name	source_code_path	source_paper_id	authoritative_paper_id	signal_definition	sort_variable	long_leg	short_leg	reported_lms_direction	code_effective_direction	code_paper_agreement	evidence_pointer	status	notes
pchcapx_ia	Industry adjusted % change in capital expenditures	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	abarbanell-1998		Industry adjusted % change in capital expenditures	pchcapx_ia	Low	High	not-simple	L-H	n/a	paper: doi:10.2139/ssrn.40740; paperzz:L43-L57; paperzz:L225-L248; paperzz:L314-L323; paperzz:L337-L409; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.pchcapx_ia	paper_source_no_simple_lms	Repo attribution: Abarbanell and Bushee (1998). Formula table has no entry for this signal.
pchcurrat	% change in current ratio	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	ou-1989		% change in current ratio	pchcurrat	High	Low	not-simple	H-L	n/a	paper: extracted-text/ou-1989.txt:396-470 (Table 2),535-617 (Table 3),665-685 (preset strategy),860-890 (Table 6 notes); papers/ou-1989/ou-1989.pdf; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.pchcurrat	paper_source_no_simple_lms	Repo attribution: Ou and Penman (1989). Formula table has no entry for this signal.
pchdepr	% change in depreciation	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	holthausen-1992		% change in depreciation	pchdepr	High	Low	not-simple	H-L	n/a	paper: extracted-text/holthausen-1992-publisher.txt:300-339,524-543,738-792; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.pchdepr	paper_source_no_simple_lms	Repo attribution: Holthausen and Larcker (1992). Formula table has no entry for this signal.
pchgm_pchsale	% change in gross margin - % change in sales	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	abarbanell-1998		% change in gross margin - % change in sales	pchgm_pchsale	High	Low	not-simple	H-L	n/a	paper: doi:10.2139/ssrn.40740; paperzz:L43-L57; paperzz:L231-L235; paperzz:L337-L409; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.pchgm_pchsale	paper_source_no_simple_lms	Repo attribution: Abarbanell and Bushee (1998). Formula table has no entry for this signal.
pchquick	% change in quick ratio	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	ou-1989		% change in quick ratio	pchquick	High	Low	not-simple	H-L	n/a	paper: extracted-text/ou-1989.txt:396-470 (Table 2),535-617 (Table 3),665-685 (preset strategy),860-890 (Table 6 notes); papers/ou-1989/ou-1989.pdf; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.pchquick	paper_source_no_simple_lms	Repo attribution: Ou and Penman (1989). Formula table has no entry for this signal.
pchsale_pchinvt	% change in sales - % change in inventory	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	abarbanell-1998		% change in sales - % change in inventory	pchsale_pchinvt	High	Low	not-simple	H-L	n/a	paper: doi:10.2139/ssrn.40740; paperzz:L43-L57; paperzz:L231-L233; paperzz:L337-L409; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.pchsale_pchinvt	paper_source_no_simple_lms	Repo attribution: Abarbanell and Bushee (1998). Formula table has no entry for this signal.
pchsale_pchrect	% change in sales - % change in A or R	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	abarbanell-1998		% change in sales - % change in A or R	pchsale_pchrect	High	Low	not-simple	H-L	n/a	paper: doi:10.2139/ssrn.40740; paperzz:L43-L57; paperzz:L244-L248; paperzz:L337-L409; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.pchsale_pchrect	paper_source_no_simple_lms	Repo attribution: Abarbanell and Bushee (1998). Formula table has no entry for this signal.
pchsale_pchxsga	% change in sales - % change in SG and A	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	abarbanell-1998		% change in sales - % change in SG and A	pchsale_pchxsga	High	Low	not-simple	H-L	n/a	paper: doi:10.2139/ssrn.40740; paperzz:L43-L57; paperzz:L317-L323; paperzz:L337-L409; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.pchsale_pchxsga	paper_source_no_simple_lms	Repo attribution: Abarbanell and Bushee (1998). Formula table has no entry for this signal.
pchsaleinv	% change sales-to-inventory	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	ou-1989		% change sales-to-inventory	pchsaleinv	High	Low	not-simple	H-L	n/a	paper: extracted-text/ou-1989.txt:396-470 (Table 2),535-617 (Table 3),665-685 (preset strategy),860-890 (Table 6 notes); papers/ou-1989/ou-1989.pdf; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.pchsaleinv	paper_source_no_simple_lms	Repo attribution: Ou and Penman (1989). Formula table has no entry for this signal.
pctacc	Percent operating accruals	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	hafzalla-2011		Percent operating accruals	pctacc	Low	High	L-H	L-H	yes	paper: extracted-text/hafzalla-2011-publisher.txt:19-24,109-111,219-230,298,323-325,573-575,664-685; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.pctacc	paper_direction_verified	Repo attribution: Hafzalla, Lundholm, and Van Winkle (2011). Formula table direction: -1.
pm	profit margin	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	soliman-2008		profit margin	pm	High	Low	not-simple	H-L	n/a	paper: extracted-text/soliman-2008-publisher.txt:134-151,391-399,669-729,837-905,1577-1713; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.pm	paper_source_no_simple_lms	Repo attribution: Soliman (2008). Formula table direction: +1.
pscore	Performance Score	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	piotroski-2000		Performance Score	pscore	High	Low	H-L	H-L	yes	paper: extracted-text/piotroski-2000.txt:390-399,423-458,466-534,572-588,638-647,684-704,1025-1031,1790-1797; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.pscore	paper_direction_verified	Repo attribution: Piotroski (2000). Formula table direction: +1.
quick	Quick ratio	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	ou-1989		Quick ratio	quick	High	Low	not-simple	H-L	n/a	paper: extracted-text/ou-1989.txt:396-470 (Table 2),535-617 (Table 3),665-685 (preset strategy),860-890 (Table 6 notes); papers/ou-1989/ou-1989.pdf; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.quick	paper_source_no_simple_lms	Repo attribution: Ou and Penman (1989). Formula table has no entry for this signal.
rd	R and D increase	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	eberhart-2004		R and D increase	rd	High	Low	not-simple	H-L	n/a	paper: doi:10.1111/j.1540-6261.2004.00644.x; scholar:10.1111/j.1540-6261.2004.00644.x_0015 (Methods/Table II); code: repo/chars/data/equity_long_short_raw_no_impute.json#series.rd	paper_source_no_simple_lms	Repo attribution: Eberhart, Maxwell, and Siddique (2004). Formula table has no entry for this signal.
rd_sale	R and D to sales	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	guo-2006		R and D to sales	rd_sale	High	Low	H-L	H-L	yes	paper: extracted-text/guo-2006-publisher.txt:252-310,369-377,474-480,1157-1192,1265-1357; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.rd_sale	paper_direction_verified	Repo attribution: Guo, Lev, and Shi (2006). Formula table direction: +1.
rdm	R and D Expense-to-market	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	chan-2001		R and D Expense-to-market	rdm	High	Low	not-simple	H-L	n/a	paper: extracted-text/chan-2001.txt:493-501,511-514,733-748,784-812,864-876,1367-1369; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.rdm	paper_source_no_simple_lms	Repo attribution: Chan, Lakonishok, and Sougiannis (2001). Formula table direction: +1.
re	Revisions in analysts earnings forecasts	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	chan-1996		Revisions in analysts earnings forecasts	re	High	Low	not-simple	H-L	n/a	paper: extracted-text/chan-1996.txt:294-308,329-345,794-817,970-986,1056-1072,1715-1756,1811-1817; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.re	paper_source_no_simple_lms	Repo attribution: Chan, Jegadeesh, and Lakonishok (1996). Formula table direction: +1.
realestate	Real estate holdings	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	tuzel-2010		Real estate holdings	realestate	High	Low	H-L	H-L	yes	paper: extracted-text/tuzel-2010-publisher.txt:50-53,603-610,613-817; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.realestate	paper_direction_verified	Repo attribution: Tuzel (2010). Formula table has no entry for this signal.
rna	Quarterly Return on Net Operating Assets, Quarterly Asset Turnover	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	soliman-2008		Quarterly Return on Net Operating Assets, Quarterly Asset Turnover	rna	High	Low	not-simple	H-L	n/a	paper: extracted-text/soliman-2008-publisher.txt:134-151,391-399,669-729,837-905; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.rna	paper_source_no_simple_lms	Repo attribution: Soliman (2008). Formula table direction: +1.
roa	Return on assets	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	balakrishnan-2010		Return on assets	roa	High	Low	H-L	H-L	yes	paper: extracted-text/balakrishnan-2010.txt:100-140,337-435 (Sections 2.2 and 3.1-3.2, Table 2); papers/balakrishnan-2010/balakrishnan-2010-authoritative-fulltext.html; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.roa	paper_direction_verified	Repo attribution: Balakrishnan, Bartov, and Faurel (2010). Formula table direction: +1.
roavol	Earnings volatility	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	francis-2004		Earnings volatility	roavol	Low	High	not-simple	L-H	n/a	paper: extracted-text/francis-2004-publisher.txt:511-516,1831-1875; papers/francis-2004/francis-2004-publisher.pdf:p.998; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.roavol	paper_source_no_simple_lms	Repo attribution: Francis, LaFond, Olsson, and Schipper (2004). Formula table has no entry for this signal.
roe	Return on equity	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	hou-2015		Return on equity	roe	High	Low	H-L	H-L	yes	paper: extracted-text/hou-2015-publisher.txt:52-57,100-105,406-414; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.roe	paper_direction_verified	Repo attribution: Hou, Xue, and Zhang (2015). Formula table direction: +1.
roic	Return on invested capital	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	brown-2007		Return on invested capital	roic	High	Low	H-L	H-L	yes	paper: extracted-text/fallahgoul-2024-supplement.txt:4970-4976@supporting-information/fallahgoul-2024/fallahgoul-franstianto-lin-2024-supplement.pdf; extracted-text/gu-2020-internet-appendix.txt:2587-2594@supporting-information/gu-2020/gu-kelly-xiu-2020-internet-appendix.pdf; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.roic	paper_direction_verified	Repo attribution: Brown and Rowe (2007). Formula table has no entry for this signal.
rsup	Revenue surprise	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	kama-2009		Revenue surprise	rsup	High	Low	not-simple	H-L	n/a	paper: extracted-text/kama-2009.txt:260-267,286-312,380-388,521-542,713-723,819-826,876-934; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.rsup	paper_source_no_simple_lms	Repo attribution: Kama (2009). Formula table direction: +1.
rvar_capm	Residual variance - CAPM rolling 3m	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	daily-stock-residual-variance-of-capm	ang-2006	Residual variance - CAPM rolling 3m	rvar_capm	Low	High	L-H	L-H	yes	paper: extracted-text/ang-2006-publisher.txt:1278-1329,1354-1362,1368-1413; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.rvar_capm	paper_direction_verified	Repo attribution: Daily Stock residual variance of CAPM (). Formula table direction: -1.
rvar_ff3	Residual variance - ff3 rolling 3m	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	daily-stock-residual-variance-of-fama-french-3-factors	ang-2006	Residual variance - ff3 rolling 3m	rvar_ff3	Low	High	L-H	L-H	yes	paper: extracted-text/ang-2006-publisher.txt:1278-1329,1368-1413; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.rvar_ff3	paper_direction_verified	Repo attribution: Daily Stock residual variance of Fama French 3 factors (). Formula table direction: -1.
rvar_mean	return variance rolling 3m	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	daily-stock-return-variance	ang-2006	return variance rolling 3m	rvar_mean	Low	High	L-H	L-H	yes	paper: extracted-text/ang-2006-publisher.txt:1294-1329,1368-1413; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.rvar_mean	paper_direction_verified	Repo attribution: Daily Stock return variance (). Formula table has no entry for this signal.
salecash	Sales to cash	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	ou-1989		Sales to cash	salecash	High	Low	not-simple	H-L	n/a	paper: extracted-text/ou-1989.txt:396-470 (Table 2),535-617 (Table 3),665-685 (preset strategy),860-890 (Table 6 notes); papers/ou-1989/ou-1989.pdf; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.salecash	paper_source_no_simple_lms	Repo attribution: Ou and Penman (1989). Formula table has no entry for this signal.
saleinv	Sales to inventory	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	ou-1989		Sales to inventory	saleinv	High	Low	not-simple	H-L	n/a	paper: extracted-text/ou-1989.txt:396-470 (Table 2),535-617 (Table 3),665-685 (preset strategy),860-890 (Table 6 notes); papers/ou-1989/ou-1989.pdf; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.saleinv	paper_source_no_simple_lms	Repo attribution: Ou and Penman (1989). Formula table has no entry for this signal.
salerec	Sales to receivables	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	ou-1989		Sales to receivables	salerec	High	Low	not-simple	H-L	n/a	paper: extracted-text/ou-1989.txt:396-470 (Table 2),535-617 (Table 3),665-685 (preset strategy),860-890 (Table 6 notes); papers/ou-1989/ou-1989.pdf; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.salerec	paper_source_no_simple_lms	Repo attribution: Ou and Penman (1989). Formula table has no entry for this signal.
seas1a	Seasonality	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	heston-2008		Seasonality	seas1a	High	Low	H-L	H-L	yes	paper: extracted-text/heston-2008-publisher.txt:15,30-32,287-291,650-657; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.seas1a	paper_direction_verified	Repo attribution: Heston and Sadka (2008). Formula table direction: +1.
secured	Secured debt	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	valta-2016		Secured debt	secured	High	Low	H-L	H-L	yes	paper: extracted-text/valta-2016-publisher.txt:285-363,629-633,743-744,797-848,997-1064,1515-1522; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.secured	paper_direction_verified	Repo attribution: Valta (2016). Formula table has no entry for this signal.
securedind	Secured debt indicator	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	valta-2016		Secured debt indicator	securedind	High	Low	not-simple	H-L	n/a	paper: extracted-text/valta-2016-publisher.txt:285-363,629-633,743-744,797-848,997-1064,1515-1522; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.securedind	paper_source_no_simple_lms	Repo attribution: Valta (2016). Formula table has no entry for this signal.
sgr	Sales growth	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	lakonishok-1994		Sales growth	sgr	High	Low	L-H	H-L	no	paper: extracted-text/lakonishok-1994-publisher.txt:215-365,440-540,595-623; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.sgr	paper_direction_verified	Repo attribution: Lakonishok, Shleifer, and Vishny (1994). Formula table direction: +1.
sin	Sin stocks	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	hong-2009		Sin stocks	sin	High	Low	H-L	H-L	yes	paper: extracted-text/hong-2009-publisher.txt:35,48-52,576,582,739,753,1135-1138; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.sin	paper_direction_verified	Repo attribution: Hong and Kacperczyk (2009). Formula table has no entry for this signal.
sp	Sales-to-price	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	barbee-1996		Sales-to-price	sp	High	Low	not-simple	H-L	n/a	paper: extracted-text/barbee-1996-publisher.txt:63-79,83-91,95-119; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.sp	paper_source_no_simple_lms	Repo attribution: Barbee, Mukherji, and Raines (1996). Formula table direction: +1.
std_dolvol	Std. of dollar trading volume rolling 3m	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	chordia-2001		Std. of dollar trading volume rolling 3m	std_dolvol	Low	High	not-simple	L-H	n/a	paper: extracted-text/chordia-2001-publisher.txt:43-60,110-121,216-219,664-665,1684-1684; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.std_dolvol	paper_source_no_simple_lms	Repo attribution: Chordia, Subrahmanyam, and Anshuman (2001). Formula table direction: -1.
std_turn	Std. of Share turnover rolling 3m	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	chordia-2001		Std. of Share turnover rolling 3m	std_turn	Low	High	not-simple	L-H	n/a	paper: extracted-text/chordia-2001-publisher.txt:36-60,110-121,216-219,665-665,1001-1003; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.std_turn	paper_source_no_simple_lms	Repo attribution: Chordia, Subrahmanyam, and Anshuman (2001). Formula table direction: -1.
sue	Unexpected quarterly earnings	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	rendelman-1982		Unexpected quarterly earnings	sue	High	Low	H-L	H-L	yes	paper: extracted-text/rendelman-1982-publisher.txt:267-300,313-338,528-576,616-647,771-812; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.sue	paper_direction_verified	Repo attribution: Rendelman, Jones, and Latane (1982). Formula table direction: +1.
tang	Debt capacity or firm tangibility	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	almeida-2007		Debt capacity or firm tangibility	tang	High	Low	not-simple	H-L	n/a	paper: extracted-text/almeida-2007-publisher.txt:390-430,633-708,927-950,1136-1179; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.tang	paper_source_no_simple_lms	Repo attribution: Almeida and Campello (2007). Formula table has no entry for this signal.
tb	Tax income to book income	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	lev-2004		Tax income to book income	tb	High	Low	not-simple	H-L	n/a	paper: extracted-text/lev-2004.txt:395-420,470-503,520-650,1390-1403,1535-1555; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.tb	paper_source_no_simple_lms	Repo attribution: Lev and Nissim (2004). Formula table has no entry for this signal.
turn	Shares turnover	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	datar-1998		Shares turnover	turn	Low	High	not-simple	L-H	n/a	paper: extracted-text/datar-1998-publisher.txt:1-30,115-123,457-462; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.turn	paper_source_no_simple_lms	Repo attribution: Datar, Naik, and Radcliffe (1998). Formula table direction: -1.
zerotrade	Number of zero-trading days rolling 3m	repo/scripts/build_long_short_portfolios.py; repo/chars/data/equity_long_short_raw_no_impute.json	liu-2006		Number of zero-trading days rolling 3m	zerotrade	High	Low	H-L	H-L	yes	paper: extracted-text/liu-2006-publisher.txt:27,30,34-35,569-577,757,1636; code: repo/chars/data/equity_long_short_raw_no_impute.json#series.zerotrade	paper_direction_verified	Repo attribution: Liu (2006). Formula table direction: +1.
