characteristic_id	source_id	variant_role	source_label	source_year	formula_latex	formula_text	formula_match	data_fields	calculation_window_zh	calculation_window_en	accounting_lag_zh	accounting_lag_en	portfolio_rule_zh	portfolio_rule_en	direction	source_path	source_page	source_url	notes_zh	notes_en
convind	valta-2016	original_paper	Strategic Default, Debt Structure, and Stock Returns	2016	\(\displaystyle \mathrm{ConvertibleDebtShare}_{i,t}=\frac{\mathrm{ConvertibleDebt}_{i,t}}{\mathrm{TotalDebt}_{i,t}}\)	no paper indicator; closest priced variable is convertible debt / total debt	closest_paper_measure	no paper indicator; closest priced variable is convertible debt / total debt	U.S. CRSP/Compustat/Thomson sample, 1985-2012; fiscal year-ends in calendar t-1 are matched to July t through June t+1 returns; portfolios form monthly.	U.S. CRSP/Compustat/Thomson sample, 1985-2012; fiscal year-ends in calendar t-1 are matched to July t through June t+1 returns; portfolios form monthly.			Five monthly quantiles among firms with convertible debt outstanding; no return-sort breakpoint for the repo binary indicator was found. Individual-stock quantile alphas and equal- and value-weighted monthly portfolio returns. Monthly. One month, with annual accounting data on July-to-June timing.	Five monthly quantiles among firms with convertible debt outstanding; no return-sort breakpoint for the repo binary indicator was found. Individual-stock quantile alphas and equal- and value-weighted monthly portfolio returns. Monthly. One month, with annual accounting data on July-to-June timing.	not-simple	papers/valta-2016/valta-2016-publisher.pdf		https://www.cambridge.org/core/journals/journal-of-financial-and-quantitative-analysis/article/abs/strategic-default-debt-structure-and-stock-returns/E68AD030B31B9D4E20BDA3B7EA881040	论文只给出最接近口径，与项目指标不完全相同。	The paper provides the closest available measure; it is not identical to the project signal.
currat	ou-1989	original_paper	Financial statement analysis and the prediction of stock returns	1989	\(\displaystyle \mathrm{CurrentRatio}_{i,t}=\frac{\mathrm{ACT}_{i,t}}{\mathrm{LCT}_{i,t}}\)	Current ratio	paper_definition	Current ratio	Descriptors are estimated on 1965-1972 or 1973-1977 data; annual positions are formed for 1973-1983 three months after fiscal year-end.	Descriptors are estimated on 1965-1972 or 1973-1977 data; annual positions are formed for 1973-1983 three months after fiscal year-end.			The published portfolio cutoffs apply to composite Pr (>0.6 versus <=0.4), not to current ratio. Mean monthly returns on each composite position; the reported hedge is the zero-investment difference between the two sides. Annual overlapping formation with monthly portfolio rebalancing in the cumulative-return calculation. 24 months.	The published portfolio cutoffs apply to composite Pr (>0.6 versus <=0.4), not to current ratio. Mean monthly returns on each composite position; the reported hedge is the zero-investment difference between the two sides. Annual overlapping formation with monthly portfolio rebalancing in the cumulative-return calculation. 24 months.	not-simple	papers/ou-1989/ou-1989.pdf		https://doi.org/10.1016/0165-4101(89)90017-7	按论文变量定义转写。	Transcribed from the paper's variable definition.
depr	holthausen-1992	original_paper	The prediction of stock returns using financial statement information	1992	\(\displaystyle \mathrm{DEPR}_{i,t}=\frac{\mathrm{DP}_{i,t}}{\mathrm{PlantAssets}_{i,t}}\)	depreciation divided by plant assets	paper_definition	depreciation divided by plant assets	Models are estimated separately for NYSE/AMEX and OTC firms on 1973-1977 and 1978-1982 data and tested out of sample through 1988; accounting data are assumed available four months after fiscal year-end.	Models are estimated separately for NYSE/AMEX and OTC firms on 1973-1977 and 1978-1982 data and tested out of sample through 1988; accounting data are assumed available four months after fiscal year-end.			Composite probability-score deciles based on in-sample cutoffs; portfolios 1-3 are long and 8-10 short. No standalone depreciation breakpoint. Pooled equal-weighted observations and an implementable annual weighting scheme are both reported for the composite strategy. Annual signal/portfolio formation. 12 months primarily; 24-, 36-, and 48-month buy-and-hold results also reported.	Composite probability-score deciles based on in-sample cutoffs; portfolios 1-3 are long and 8-10 short. No standalone depreciation breakpoint. Pooled equal-weighted observations and an implementable annual weighting scheme are both reported for the composite strategy. Annual signal/portfolio formation. 12 months primarily; 24-, 36-, and 48-month buy-and-hold results also reported.	not-simple	papers/holthausen-1992/holthausen-1992-publisher.pdf		https://doi.org/10.1016/0165-4101(92)90025-W	按论文变量定义转写。	Transcribed from the paper's variable definition.
divi	michaely-1995	original_paper	Price Reactions to Dividend Initiations and Omissions: Overreaction or Drift?	1995	\(\displaystyle \mathrm{DIVI}_{i,t}=\mathbf{1}\!\left\{\mathrm{Dividend}_{i,t}>0,\ \mathrm{Dividend}_{i,t-1}=0\right\}\)	cash dividend initiation event	paper_definition	cash dividend initiation event	NYSE/AMEX firms initiating cash dividends during 1964-1988; 561 initiation events; event window and post-event returns measured relative to announcement.	NYSE/AMEX firms initiating cash dividends during 1964-1988; 561 initiation events; event window and post-event returns measured relative to announcement.			Event group, not cross-sectional breakpoints. Average excess returns across event firms; naive rule uses equal-dollar long stock position offset by short CRSP equal-weighted index. Event-driven. Three-day event window plus one- and three-year post-event buy-and-hold excess returns; naive rule holds one year / 252 trading days.	Event group, not cross-sectional breakpoints. Average excess returns across event firms; naive rule uses equal-dollar long stock position offset by short CRSP equal-weighted index. Event-driven. Three-day event window plus one- and three-year post-event buy-and-hold excess returns; naive rule holds one year / 252 trading days.	not-simple	papers/michaely-1995/michaely-thaler-womack-1995-jstor.pdf		https://doi.org/10.1111/j.1540-6261.1995.tb04796.x	按论文变量定义转写。	Transcribed from the paper's variable definition.
divo	michaely-1995	original_paper	Price Reactions to Dividend Initiations and Omissions: Overreaction or Drift?	1995	\(\displaystyle \mathrm{DIVO}_{i,t}=\mathbf{1}\!\left\{\mathrm{Dividend}_{i,t}=0,\ \mathrm{Dividend}_{i,t-1}>0\right\}\)	cash dividend omission event	paper_definition	cash dividend omission event	NYSE/AMEX firms with regular cash dividends that omitted payments during 1964-1988; 887 omission events; event window and post-event returns measured relative to announcement.	NYSE/AMEX firms with regular cash dividends that omitted payments during 1964-1988; 887 omission events; event window and post-event returns measured relative to announcement.			Event group, not cross-sectional breakpoints. Average excess returns across event firms; naive rule uses equal-dollar short stock position offset by long CRSP equal-weighted index. Event-driven. Three-day event window plus one- and three-year post-event buy-and-hold excess returns; naive rule holds one year / 252 trading days.	Event group, not cross-sectional breakpoints. Average excess returns across event firms; naive rule uses equal-dollar short stock position offset by long CRSP equal-weighted index. Event-driven. Three-day event window plus one- and three-year post-event buy-and-hold excess returns; naive rule holds one year / 252 trading days.	not-simple	papers/michaely-1995/michaely-thaler-womack-1995-jstor.pdf		https://doi.org/10.1111/j.1540-6261.1995.tb04796.x	按论文变量定义转写。	Transcribed from the paper's variable definition.
dolvol	chordia-2001	original_paper	Trading Activity and Expected Stock Returns	2001	\(\displaystyle \mathrm{DVOL}_{i,t}=\ln\!\left(\mathrm{DollarVolume}_{i,t-2}\right)\)	natural logarithm of dollar trading volume in month t-2	paper_definition	natural logarithm of dollar trading volume in month t-2	NYSE/AMEX common stocks, January 1966-December 1995; monthly characteristics and returns, with DVOL lagged to month t-2.	NYSE/AMEX common stocks, January 1966-December 1995; monthly characteristics and returns, with DVOL lagged to month t-2.			Monthly cross-sectional regression characteristic; no DVOL portfolio breakpoints. Fama-MacBeth and purged regression estimators; no portfolio weights for DVOL. Monthly. One-month return regression.	Monthly cross-sectional regression characteristic; no DVOL portfolio breakpoints. Fama-MacBeth and purged regression estimators; no portfolio weights for DVOL. Monthly. One-month return regression.	not-simple	papers/chordia-2001/chordia-2001-publisher-fulltext.html		https://www.sciencedirect.com/science/article/pii/S0304405X00000805	按论文变量定义转写。	Transcribed from the paper's variable definition.
egr	richardson-2005	original_paper	Accrual reliability, earnings persistence and stock prices	2005	\(\displaystyle \Delta\mathrm{Equity}_{i,t}=\frac{\mathrm{CEQ}_{i,t}-\mathrm{CEQ}_{i,t-1}}{(\mathrm{AT}_{i,t}+\mathrm{AT}_{i,t-1})/2}\)	change in external equity financing (ΔEquity), where book common equity is scaled by average total assets	closest_paper_measure	change in external equity financing (ΔEquity), where book common equity is scaled by average total assets	Annual U.S. firm-year observations, 1962-2001; stock returns are measured over the 12 months beginning four months after fiscal year-end.	Annual U.S. firm-year observations, 1962-2001; stock returns are measured over the 12 months beginning four months after fiscal year-end.			N/A; regression and decomposition evidence rather than an explicit portfolio sort. N/A annual 12 months, beginning four months after fiscal year-end.	N/A; regression and decomposition evidence rather than an explicit portfolio sort. N/A annual 12 months, beginning four months after fiscal year-end.	not-simple	papers/richardson-2005/richardson-2005-publisher-fulltext.html		https://www.sciencedirect.com/science/article/abs/pii/S0165410105000406	论文只给出最接近口径，与项目指标不完全相同。	The paper provides the closest available measure; it is not identical to the project signal.
ep	basu-1977	original_paper	Investment Performance of Common Stocks in Relation to Their Price-Earnings Ratios: A Test of the Efficient Market Hypothesis	1977	\(\displaystyle \mathrm{PE}_{i,t}=\frac{\mathrm{Price}_{i,t}}{\mathrm{EarningsPerShare}_{i,t}}\)	price-to-earnings ratio (P/E)	closest_paper_measure	price-to-earnings ratio (P/E)	P/E is measured on December 31; portfolios are formed the following April 1; returns are computed for the next 12 months.	P/E is measured on December 31; portfolios are formed the following April 1; returns are computed for the next 12 months.			Five portfolios of similar P/E ratios; no numeric breakpoint cutoffs are given in the cited passage. Equal initial investment; buy-and-hold. Annual formation. 12 months.	Five portfolios of similar P/E ratios; no numeric breakpoint cutoffs are given in the cited passage. Equal initial investment; buy-and-hold. Annual formation. 12 months.	N/A	papers/basu-1977/basu-1977-jstor.pdf		https://doi.org/10.1111/j.1540-6261.1977.tb01979.x	论文只给出最接近口径，与项目指标不完全相同。	The paper provides the closest available measure; it is not identical to the project signal.
gma	novy-marx-2013	original_paper	The other side of value: The gross profitability premium	2013	\(\displaystyle \mathrm{GPA}_{i,t}=\frac{\mathrm{REVT}_{i,t}-\mathrm{COGS}_{i,t}}{\mathrm{AT}_{i,t-1}}\)	Gross profits-to-assets, (REVT - COGS) / AT	paper_definition	Gross profits-to-assets, (REVT - COGS) / AT	Compustat data beginning in 1962; accounting data for a fiscal year are used from the following June; returns cover July 1963 through December 2010; financial firms are excluded.	Compustat data beginning in 1962; accounting data for a fiscal year are used from the following June; returns cover July 1963 through December 2010; financial firms are excluded.			NYSE quintiles on gross profits-to-assets. Value-weighted monthly excess returns. Annual, at the end of June. Twelve months until the next June rebalance; the paper also reports a separate monthly high-frequency robustness strategy.	NYSE quintiles on gross profits-to-assets. Value-weighted monthly excess returns. Annual, at the end of June. Twelve months until the next June rebalance; the paper also reports a separate monthly high-frequency robustness strategy.	H-L	papers/novy-marx-2013/novy-marx-2013-authoritative-fulltext.html		https://doi.org/10.1016/j.jfineco.2013.01.003	按论文变量定义转写。	Transcribed from the paper's variable definition.
grcapx	anderson-2006	original_paper	Empirical Evidence on Capital Investment, Growth Options, and Security Returns	2006	\(\displaystyle \mathrm{CEGTH2}_{i,t}=\frac{\mathrm{CAPEX}_{i,t-1}-\mathrm{CAPEX}_{i,t-3}}{\mathrm{CAPEX}_{i,t-3}}\)	capital investment growth (cegth2 = (capexp_t-1 - capexp_t-3) / capexp_t-3)	paper_definition	capital investment growth (cegth2 = (capexp_t-1 - capexp_t-3) / capexp_t-3)	Sample period is 1976-1999 with 36 months of return history before inclusion; the key growth proxy is measured from fiscal year t-3 to t-1.	Sample period is 1976-1999 with 36 months of return history before inclusion; the key growth proxy is measured from fiscal year t-3 to t-1.			Five quintiles; no numeric breakpoint cutoffs are stated in the cited passage. Value-weighted in panels C/E; Fama-French methodology is used. Annual formation at end of June; monthly return measurement thereafter. 12 months.	Five quintiles; no numeric breakpoint cutoffs are stated in the cited passage. Value-weighted in panels C/E; Fama-French methodology is used. Annual formation at end of June; monthly return measurement thereafter. 12 months.	N/A	papers/anderson-2006/anderson-garcia-feijoo-2006-jstor.pdf		https://doi.org/10.1111/j.1540-6261.2006.00833.x	按论文变量定义转写。	Transcribed from the paper's variable definition.
grltnoa	fairfield-2003	original_paper	The Differential Persistence of Accruals and Cash Flows for Future Operating Income versus Future Profitability	2003	\(\displaystyle \mathrm{GrNOA}_{i,t}=\frac{\mathrm{NOA}_{i,t}}{\mathrm{NOA}_{i,t-1}}\)	GrNOA = net operating assets at fiscal year t divided by net operating assets at fiscal year t-1	paper_definition	GrNOA = net operating assets at fiscal year t divided by net operating assets at fiscal year t-1	Compustat observations with December fiscal year-ends from 1963-2001; annual accounting regressions and GrNOA-ranked subsamples.	Compustat observations with December fiscal year-ends from 1963-2001; annual accounting regressions and GrNOA-ranked subsamples.			Annual deciles ranked by growth in net operating assets for regression analysis. N/A; no return portfolio. Annual. N/A; accounting persistence tests.	Annual deciles ranked by growth in net operating assets for regression analysis. N/A; no return portfolio. Annual. N/A; accounting persistence tests.	N/A	papers/fairfield-2003/fairfield-2003-publisher.pdf		https://doi.org/10.1023/A:1024413412176	按论文变量定义转写。	Transcribed from the paper's variable definition.
herf	hou-2006	original_paper	Industry Concentration and Average Stock Returns	2006	\(\displaystyle H_{j,t}=\frac{1}{3}\sum_{\tau=t-2}^{t}\sum_{i\in j}\left(\frac{\mathrm{SALE}_{i,\tau}}{\sum_{k\in j}\mathrm{SALE}_{k,\tau}}\right)^2\)	H(Sales) = sum of squared firm sales shares within each three-digit SIC industry, averaged over the prior 3 years	paper_definition	H(Sales) = sum of squared firm sales shares within each three-digit SIC industry, averaged over the prior 3 years	The CRSP/Compustat sample covers July 1963-December 2001; fiscal-year t-1 accounting information is matched to July t-June t+1 returns.	The CRSP/Compustat sample covers July 1963-December 2001; fiscal-year t-1 accounting information is matched to July t-June t+1 returns.			In June each year, three-digit SIC industries are sorted into H(Sales) quintiles. Firm-level tests equally weight firms within each concentration portfolio; industry-level tests first form industry portfolios and then equally weight industries within each quintile. annual 12 months, July through June.	In June each year, three-digit SIC industries are sorted into H(Sales) quintiles. Firm-level tests equally weight firms within each concentration portfolio; industry-level tests first form industry portfolios and then equally weight industries within each quintile. annual 12 months, July through June.	H-L	papers/hou-2006/hou-2006-publisher.pdf		https://doi.org/10.1111/j.1540-6261.2006.00893.x	按论文变量定义转写。	Transcribed from the paper's variable definition.
hire	bazdresch-2014	original_paper	Labor Hiring, Investment, and Stock Return Predictability in the Cross Section	2014	\(\displaystyle \mathrm{HN}_{i,t}=\frac{\mathrm{EMP}_{i,t}-\mathrm{EMP}_{i,t-1}}{0.5\left(\mathrm{EMP}_{i,t-1}+\mathrm{EMP}_{i,t}\right)}\)	HN(t) = [employees(t) - employees(t-1)] / [0.5 × (employees(t-1) + employees(t))]	paper_definition	HN(t) = [employees(t) - employees(t-1)] / [0.5 × (employees(t-1) + employees(t))]	NYSE/AMEX/NASDAQ common stocks, July 1965-June 2010; December-fiscal-year firms; at the end of June t, hiring measured at the end of t-1 predicts returns from July t through June t+1.	NYSE/AMEX/NASDAQ common stocks, July 1965-June 2010; December-fiscal-year firms; at the end of June t, hiring measured at the end of t-1 predicts returns from July t through June t+1.			Deciles of the hiring-rate distribution among all but microcap firms; the resulting breakpoints are applied to the full universe. Equal-weighted and value-weighted portfolio returns are both reported; the main L2H spread is 10.4% per year equal-weighted and 5.6% value-weighted. annual 12 months, July through June.	Deciles of the hiring-rate distribution among all but microcap firms; the resulting breakpoints are applied to the full universe. Equal-weighted and value-weighted portfolio returns are both reported; the main L2H spread is 10.4% per year equal-weighted and 5.6% value-weighted. annual 12 months, July through June.	L-H	papers/bazdresch-2014/bazdresch-2014-publisher.pdf		https://www.journals.uchicago.edu/doi/10.1086/674549	按论文变量定义转写。	Transcribed from the paper's variable definition.
ill	amihud-2002	original_paper	Illiquidity and Stock Returns: Cross-Section and Time-Series Effects	2002	\(\displaystyle \mathrm{ILLIQ}_{i,t}=\frac{1}{D_{i,t}}\sum_{d=1}^{D_{i,t}}\frac{\lvert R_{i,d}\rvert}{\mathrm{DollarVolume}_{i,d}}\)	ILLIQ = average daily absolute return divided by dollar volume	paper_definition	ILLIQ = average daily absolute return divided by dollar volume	Daily stock data; the abstract frames both cross-sectional and time-series tests rather than a single traded portfolio.	Daily stock data; the abstract frames both cross-sectional and time-series tests rather than a single traded portfolio.			Daily ratio averaged over a period; no numeric cutoffs reported in the abstract. Regression-based and time-series tests; no portfolio weights reported in the abstract. N/A N/A	Daily ratio averaged over a period; no numeric cutoffs reported in the abstract. Regression-based and time-series tests; no portfolio weights reported in the abstract. N/A N/A	N/A	papers/amihud-2002/amihud-2002-nyu.pdf		https://www.sciencedirect.com/science/article/pii/S1386418101000246	按论文变量定义转写。	Transcribed from the paper's variable definition.
indmom	moskowitz-1999	original_paper	Do Industries Explain Momentum?	1999	\(\displaystyle \mathrm{INDMOM}_{j,t}=\sum_{i\in j}w^{ME}_{i,t-1}\!\left[\prod_{k=1}^{L}(1+R_{i,t-k})-1\right]\)	lagged industry return	paper_definition	lagged industry return	CRSP/COMPUSTAT; 20 value-weighted industry portfolios formed monthly from July 1963 to July 1995.	CRSP/COMPUSTAT; 20 value-weighted industry portfolios formed monthly from July 1963 to July 1995.			Top three and bottom three industries by past L-month return; table also defines middle three ranks 9-11. Industries are value-weighted internally; winner and loser sides are equal-weighted across selected industries. Monthly. H months; main six-month hold, with H = 1, 6, 12, 24, or 36 months tested.	Top three and bottom three industries by past L-month return; table also defines middle three ranks 9-11. Industries are value-weighted internally; winner and loser sides are equal-weighted across selected industries. Monthly. H months; main six-month hold, with H = 1, 6, 12, 24, or 36 months tested.	H-L	papers/moskowitz-1999/moskowitz-grinblatt-1999-jstor.pdf		https://doi.org/10.1111/0022-1082.00146	按论文变量定义转写。	Transcribed from the paper's variable definition.
invest	lyandres-2008	original_paper	The New Issues Puzzle: Testing the Investment-Based Explanation	2008	\(\displaystyle \mathrm{INVEST}_{i,t}=\frac{\Delta\mathrm{PPEGT}_{i,t}+\Delta\mathrm{INVT}_{i,t}}{\mathrm{AT}_{i,t-1}}\)	capital expenditures and inventory	paper_definition	capital expenditures and inventory	Annual Compustat signal; the published article forms monthly investment-factor returns from low- and high-investment stocks.	Annual Compustat signal; the published article forms monthly investment-factor returns from low- and high-investment stocks.			Independent 30/40/30 sorts on size, book-to-market, and investment-to-assets, producing 27 portfolios. Value-weighted returns within the 27 portfolios; INV averages the nine low-investment portfolios minus the nine high-investment portfolios. Annual accounting signal; portfolios formed each June and factor returns measured monthly. One month.	Independent 30/40/30 sorts on size, book-to-market, and investment-to-assets, producing 27 portfolios. Value-weighted returns within the 27 portfolios; INV averages the nine low-investment portfolios minus the nine high-investment portfolios. Annual accounting signal; portfolios formed each June and factor returns measured monthly. One month.	L-H	papers/lyandres-2008/lyandres-sun-zhang-2008.pdf		https://academic.oup.com/rfs/article/21/6/2825/1574519	按论文变量定义转写。	Transcribed from the paper's variable definition.
lev	bhandari-1988	original_paper	Debt/Equity Ratio and Expected Common Stock Returns: Empirical Evidence	1988	\(\displaystyle \mathrm{LEV}_{i,t}=\frac{\mathrm{AT}_{i,t}-\mathrm{CEQ}_{i,t}}{\mathrm{ME}_{i,t}}\)	(book value of total assets - book value of common equity) / market value of common equity	paper_definition	(book value of total assets - book value of common equity) / market value of common equity	Monthly CRSP returns with COMPUSTAT accounting values; for each test subperiod, LTEQ and DER use latest available prior accounting values and portfolios/variables are updated for each new subperiod.	Monthly CRSP returns with COMPUSTAT accounting values; for each test subperiod, LTEQ and DER use latest available prior accounting values and portfolios/variables are updated for each new subperiod.			Three equal-sized groups on LTEQ, then three on portfolio-formation BETA, then three on DER, yielding 27 portfolios. Equal-weighted stocks within each portfolio; regression/portfolio tests, not a stated long-short portfolio. Updated for each new subperiod; not updated within a subperiod. Monthly test returns within each subperiod.	Three equal-sized groups on LTEQ, then three on portfolio-formation BETA, then three on DER, yielding 27 portfolios. Equal-weighted stocks within each portfolio; regression/portfolio tests, not a stated long-short portfolio. Updated for each new subperiod; not updated within a subperiod. Monthly test returns within each subperiod.	not-simple	papers/bhandari-1988/bhandari-1988-jstor.pdf		https://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.1988.tb03952.x	按论文变量定义转写。	Transcribed from the paper's variable definition.
lgr	richardson-2005	original_paper	Accrual reliability, earnings persistence and stock prices	2005	\(\displaystyle \Delta\mathrm{FINL}_{i,t}=\frac{\Delta(\mathrm{DLTT}+\mathrm{DLC}+\mathrm{PSTK})_{i,t}}{(\mathrm{AT}_{i,t}+\mathrm{AT}_{i,t-1})/2}\)	change in total financial liabilities (ΔFINL), comprising long-term debt, debt in current liabilities, and preferred stock, scaled by average total assets	closest_paper_measure	change in total financial liabilities (ΔFINL), comprising long-term debt, debt in current liabilities, and preferred stock, scaled by average total assets	Annual U.S. firm-year observations, 1962-2001; stock returns are measured over the 12 months beginning four months after fiscal year-end.	Annual U.S. firm-year observations, 1962-2001; stock returns are measured over the 12 months beginning four months after fiscal year-end.			N/A; regression and decomposition evidence rather than a matching long-term-debt portfolio sort. N/A annual 12 months, beginning four months after fiscal year-end.	N/A; regression and decomposition evidence rather than a matching long-term-debt portfolio sort. N/A annual 12 months, beginning four months after fiscal year-end.	not-simple	papers/richardson-2005/richardson-2005-publisher-fulltext.html		https://www.sciencedirect.com/science/article/abs/pii/S0165410105000406	论文只给出最接近口径，与项目指标不完全相同。	The paper provides the closest available measure; it is not identical to the project signal.
maxret	bali-2011	original_paper	Maxing Out: Stocks as Lotteries and the Cross-Section of Expected Returns	2011	\(\displaystyle \mathrm{MAX}_{i,t}=\max_{d\in t-1}R_{i,d}\)	maximum daily return over the past one month (MAX)	paper_definition	maximum daily return over the past one month (MAX)	Prior one-month daily returns define MAX; portfolio returns are reported for July 1962-Dec 2005.	Prior one-month daily returns define MAX; portfolio returns are reported for July 1962-Dec 2005.			Deciles on MAX. Decile sorts; the abstract reports low-vs-high decile return differences rather than a specific weighting rule. Monthly. One month.	Deciles on MAX. Decile sorts; the abstract reports low-vs-high decile return differences rather than a specific weighting rule. Monthly. One month.	N/A	papers/bali-2011/bali-2011-publisher-fulltext.html		https://www.sciencedirect.com/science/article/pii/S0304405X1000190X	按论文变量定义转写。	Transcribed from the paper's variable definition.
me	banz-1981	original_paper	The Relationship between Return and Market Value of Common Stocks	1981	\(\displaystyle \mathrm{ME}_{i,t}=\mathrm{Price}_{i,t}\times\mathrm{Shares}_{i,t}\)	market equity = stock price times shares outstanding	paper_definition	market equity = stock price times shares outstanding	All NYSE common stocks with at least five years of data during 1926-1975; the explicit arbitrage table covers 1931-1975.	All NYSE common stocks with at least five years of data during 1926-1975; the explicit arbitrage table covers 1931-1975.			Extreme size portfolios containing the 10, 20, or 50 smallest and largest firms at the beginning of each year. Equal-weighted within each leg; legs are levered or unlevered to equal beta and form a zero-net-investment, zero-beta spread. Annual constituent selection with monthly rebalancing. Five years.	Extreme size portfolios containing the 10, 20, or 50 smallest and largest firms at the beginning of each year. Equal-weighted within each leg; legs are levered or unlevered to equal beta and form a zero-net-investment, zero-beta spread. Annual constituent selection with monthly rebalancing. Five years.	L-H	papers/banz-1981/banz-1981-publisher.pdf		https://doi.org/10.1016/0304-405X(81)90018-0	按论文变量定义转写。	Transcribed from the paper's variable definition.
me_ia	asness-2000	original_paper	Predicting Stock Returns Using Industry-Relative Firm Characteristics	2000	\(\displaystyle \mathrm{ME\_IA}_{i,t}=\mathrm{ME}_{i,t}-\overline{\mathrm{ME}_{t}}_{\,\mathrm{industry}(i)}\)	industry-adjusted size	paper_definition	industry-adjusted size	Annual Compustat data; the later formal appendix records annual frequency.	Annual Compustat data; the later formal appendix records annual frequency.			Industry demeaning; no standalone portfolio cutoffs are reported in the formal cross-check. Not reported. Annual. Not reported.	Industry demeaning; no standalone portfolio cutoffs are reported in the formal cross-check. Not reported. Annual. Not reported.	N/A			https://papers.ssrn.com/sol3/papers.cfm?abstract_id=213872	按论文变量定义转写。	Transcribed from the paper's variable definition.
mom12m	jegadeesh-1990	original_paper	Evidence of Predictable Behavior of Security Returns	1990	\(\displaystyle \mathrm{S12}_{i,t}=R_{i,t-12}\)	twelve-month lagged stock return	closest_paper_measure	twelve-month lagged stock return	CRSP monthly returns; portfolio formation January 1934-1987; parameters and portfolios updated monthly.	CRSP monthly returns; portfolio formation January 1934-1987; parameters and portfolios updated monthly.			Monthly deciles; P1 is highest twelve-month lagged return, P10 is lowest. Equal weight within each decile; P1-P10 zero-net-investment spread reported. Monthly. One month.	Monthly deciles; P1 is highest twelve-month lagged return, P10 is lowest. Equal weight within each decile; P1-P10 zero-net-investment spread reported. Monthly. One month.	H-L	papers/jegadeesh-1990/jegadeesh-1990-jstor.pdf		https://doi.org/10.1111/j.1540-6261.1990.tb05110.x	论文只给出最接近口径，与项目指标不完全相同。	The paper provides the closest available measure; it is not identical to the project signal.
mom1m	jegadeesh-1993	original_paper	Returns to Buying Winners and Selling Losers: Implications for Stock Market Efficiency	1993	\(\displaystyle \mathrm{MOM}_{i,t}^{(J)}=\prod_{j=1}^{J}(1+R_{i,t-j})-1,\qquad J\in\{3,6,9,12\}\)	EquityChars uses the current one-month return, RET at t	closest_paper_measure	EquityChars uses the current one-month return, RET at t	CRSP sample January 1965-December 1989 for the paper's 3-12 month strategies; not applicable to a one-month signal.	CRSP sample January 1965-December 1989 for the paper's 3-12 month strategies; not applicable to a one-month signal.			N/A; the paper has deciles for J = 3, 6, 9, and 12 months only. N/A for the unmatched signal. N/A for the unmatched signal. N/A for the unmatched signal.	N/A; the paper has deciles for J = 3, 6, 9, and 12 months only. N/A for the unmatched signal. N/A for the unmatched signal. N/A for the unmatched signal.	N/A	papers/jegadeesh-1993/jegadeesh-titman-1993.pdf		https://doi.org/10.1111/j.1540-6261.1993.tb04702.x	论文只给出最接近口径，与项目指标不完全相同。	The paper provides the closest available measure; it is not identical to the project signal.
mom36m	jegadeesh-1993	original_paper	Returns to Buying Winners and Selling Losers: Implications for Stock Market Efficiency	1993	\(\displaystyle \mathrm{MOM}_{i,t}^{(J)}=\prod_{j=1}^{J}(1+R_{i,t-j})-1,\qquad J\in\{3,6,9,12\}\)	EquityChars uses cumulative returns from months t-12 through t-35	closest_paper_measure	EquityChars uses cumulative returns from months t-12 through t-35	CRSP sample January 1965-December 1989 for the paper's 3-12 month strategies; not applicable to a 36-month signal.	CRSP sample January 1965-December 1989 for the paper's 3-12 month strategies; not applicable to a 36-month signal.			N/A; no 36-month formation sort. N/A for the unmatched signal. N/A for the unmatched signal. N/A for the unmatched signal.	N/A; no 36-month formation sort. N/A for the unmatched signal. N/A for the unmatched signal. N/A for the unmatched signal.	N/A	papers/jegadeesh-1993/jegadeesh-titman-1993.pdf		https://doi.org/10.1111/j.1540-6261.1993.tb04702.x	论文只给出最接近口径，与项目指标不完全相同。	The paper provides the closest available measure; it is not identical to the project signal.
mom60m	jegadeesh-1993	original_paper	Returns to Buying Winners and Selling Losers: Implications for Stock Market Efficiency	1993	\(\displaystyle \mathrm{MOM}_{i,t}^{(J)}=\prod_{j=1}^{J}(1+R_{i,t-j})-1,\qquad J\in\{3,6,9,12\}\)	EquityChars uses cumulative returns from months t-12 through t-59	closest_paper_measure	EquityChars uses cumulative returns from months t-12 through t-59	CRSP sample January 1965-December 1989 for the paper's 3-12 month strategies; not applicable to a 60-month signal.	CRSP sample January 1965-December 1989 for the paper's 3-12 month strategies; not applicable to a 60-month signal.			N/A; no 60-month formation sort. N/A for the unmatched signal. N/A for the unmatched signal. N/A for the unmatched signal.	N/A; no 60-month formation sort. N/A for the unmatched signal. N/A for the unmatched signal. N/A for the unmatched signal.	N/A	papers/jegadeesh-1993/jegadeesh-titman-1993.pdf		https://doi.org/10.1111/j.1540-6261.1993.tb04702.x	论文只给出最接近口径，与项目指标不完全相同。	The paper provides the closest available measure; it is not identical to the project signal.
